Customer Key,First Name,Last Name,Full Name,Age,Marital Status,Gender,Yearly Income,Total Children,DateFirstPurchase,DistanceFromStore,Customer City
11088,Hunter,Davis,Hunter Davis,62,M,Male,80000.00,2,2024-01-13,2-5 Miles,San Diego
11089,Abigail,Price,Abigail Price,63,S,Female,80000.00,2,2023-12-29,2-5 Miles,Long Beach
11090,Trevor,Bryant,Trevor Bryant,57,S,Male,90000.00,2,2022-08-07,2-5 Miles,Los Angeles
11091,Dalton,Perez,Dalton Perez,63,M,Male,90000.00,2,2024-01-29,5-10 Miles,Haney
11092,Cheryl,Diaz,Cheryl Diaz,53,M,Female,90000.00,2,2022-04-08,1-2 Miles,East Brisbane
11093,Aimee,He,Aimee He,47,M,Female,100000.00,0,2022-04-07,0-1 Miles,Wollongong
11094,Cedric,Ma,Cedric Ma,58,S,Male,70000.00,1,2024-04-07,0-1 Miles,Cranbourne
11095,Chad,Kumar,Chad Kumar,57,S,Male,70000.00,1,2022-04-01,5-10 Miles,Port Macquarie
11096,Andrés,Anand,Andrés Anand,57,M,Male,60000.00,1,2022-04-11,5-10 Miles,North Sydney
11097,Edwin,Nara,Edwin Nara,53,M,Male,60000.00,1,2022-04-04,5-10 Miles,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,59,S,Female,60000.00,1,2024-02-11,0-1 Miles,Rhodes
11099,Adam,Ross,Adam Ross,59,M,Male,60000.00,1,2022-04-07,0-1 Miles,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,59,S,Female,60000.00,1,2022-04-16,5-10 Miles,Cloverdale
11101,Abby,Sai,Abby Sai,55,S,Female,70000.00,0,2022-04-29,0-1 Miles,Cranbourne
11102,Julia,Nelson,Julia Nelson,55,S,Female,80000.00,5,2024-07-16,1-2 Miles,Sydney
11103,Cassie,Chande,Cassie Chande,44,S,Female,70000.00,0,2022-04-15,5-10 Miles,Darlinghurst
11104,Edgar,Sara,Edgar Sara,50,M,Male,70000.00,0,2022-05-04,0-1 Miles,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,55,S,Female,70000.00,0,2022-05-14,5-10 Miles,Matraville
11106,Jessie,Liu,Jessie Liu,55,S,Male,70000.00,0,2022-05-18,5-10 Miles,Warrnambool
11107,Bianca,Lin,Bianca Lin,49,M,Female,90000.00,1,2022-05-01,5-10 Miles,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,56,S,Female,70000.00,0,2022-05-03,0-1 Miles,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,45,S,Male,70000.00,0,2022-05-10,0-1 Miles,South Melbourne
11110,Curtis,Yang,Curtis Yang,58,M,Male,60000.00,1,2022-05-01,5-10 Miles,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,58,M,Female,60000.00,1,2022-05-20,0-1 Miles,Geelong
11112,Crystal,Wang,Crystal Wang,57,M,Female,60000.00,1,2022-05-25,0-1 Miles,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,52,M,Male,70000.00,5,2024-02-01,5-10 Miles,Perth
11114,Leslie,Moreno,Leslie Moreno,58,S,Female,70000.00,5,2024-03-18,5-10 Miles,Rhodes
11115,Alvin,Cai,Alvin Cai,58,M,Male,70000.00,5,2024-02-10,0-1 Miles,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,46,M,Male,70000.00,5,2024-03-15,5-10 Miles,Sydney
11117,April,Deng,April Deng,59,M,Female,70000.00,5,2022-05-06,10+ Miles,Matraville
11118,Alvin,Zeng,Alvin Zeng,63,S,Male,80000.00,1,2024-07-10,0-1 Miles,Lavender Bay
11119,Evan,James,Evan James,85,S,Male,30000.00,2,2024-02-03,0-1 Miles,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,83,S,Female,40000.00,2,2022-05-14,5-10 Miles,Sydney
11121,Orlando,Suarez,Orlando Suarez,59,M,Male,70000.00,5,2024-06-24,10+ Miles,Newcastle
11122,Byron,Vazquez,Byron Vazquez,60,M,Male,70000.00,5,2024-02-21,5-10 Miles,North Sydney
11123,Philip,Alvarez,Philip Alvarez,60,M,Male,70000.00,5,2024-04-17,10+ Miles,Sunbury
11124,Ross,Jordan,Ross Jordan,57,S,Male,80000.00,1,2022-05-05,5-10 Miles,Warrnambool
11125,Dana,Navarro,Dana Navarro,64,S,Female,70000.00,1,2024-01-31,5-10 Miles,Seaford
11126,Shaun,Carson,Shaun Carson,71,M,Male,10000.00,2,2022-05-28,0-1 Miles,North Ryde
11127,Jan,Edwards,Jan Edwards,44,M,Female,40000.00,0,2024-04-10,5-10 Miles,San Gabriel
11128,Samantha,Long,Samantha Long,44,M,Female,40000.00,0,2024-06-19,5-10 Miles,Renton
11129,Julia,Wright,Julia Wright,44,S,Female,40000.00,0,2022-08-06,5-10 Miles,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,40,M,Female,30000.00,0,2024-12-09,5-10 Miles,Lebanon
11131,Amanda,Rivera,Amanda Rivera,40,M,Female,30000.00,0,2024-10-18,0-1 Miles,Haney
11132,Melissa,Richardson,Melissa Richardson,39,S,Female,30000.00,0,2024-04-09,5-10 Miles,Langford
11133,Angela,Griffin,Angela Griffin,39,S,Female,30000.00,0,2024-12-30,0-1 Miles,Lake Oswego
11134,Larry,Townsend,Larry Townsend,68,S,Male,10000.00,5,2022-05-03,5-10 Miles,Perth
11135,Marcus,Harris,Marcus Harris,40,S,Male,30000.00,0,2024-04-18,5-10 Miles,Burlingame
11136,Brianna,Morgan,Brianna Morgan,41,S,Female,40000.00,0,2024-01-03,0-1 Miles,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,41,M,Female,40000.00,0,2024-07-31,5-10 Miles,Spokane
11138,Lauren,Davis,Lauren Davis,41,M,Female,40000.00,0,2024-09-19,0-1 Miles,Glendale
11139,Tanya,Moreno,Tanya Moreno,76,S,Female,30000.00,2,2024-09-14,5-10 Miles,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,43,S,Male,30000.00,0,2024-03-19,5-10 Miles,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,43,M,Female,40000.00,0,2024-05-16,0-1 Miles,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,42,S,Male,40000.00,0,2024-02-13,0-1 Miles,Langford
11143,Jonathan,Henderson,Jonathan Henderson,43,M,Male,40000.00,0,2024-06-15,5-10 Miles,Lakewood
11144,Edward,Hernandez,Edward Hernandez,40,S,Male,40000.00,0,2024-01-25,0-1 Miles,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,40,S,Female,40000.00,0,2024-01-25,0-1 Miles,Beaverton
11146,Karla,Goel,Karla Goel,80,S,Female,40000.00,2,2024-02-05,5-10 Miles,Matraville
11147,Ernest,Wu,Ernest Wu,81,M,Male,60000.00,2,2022-05-13,0-1 Miles,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,78,M,Male,40000.00,2,2024-03-07,5-10 Miles,East Brisbane
11149,Theodore,Gill,Theodore Gill,79,M,Male,40000.00,2,2024-06-04,0-1 Miles,Hervey Bay
11150,Russell,Shen,Russell Shen,79,S,Male,40000.00,2,2024-03-27,5-10 Miles,Sunbury
11151,Melinda,Gill,Melinda Gill,78,S,Female,60000.00,2,2022-05-15,0-1 Miles,Sydney
11152,James,Williams,James Williams,44,S,Male,40000.00,0,2024-01-09,5-10 Miles,Puyallup
11153,Angela,James,Angela James,44,M,Female,40000.00,0,2024-03-29,5-10 Miles,Renton
11154,Megan,Walker,Megan Walker,43,S,Female,40000.00,0,2024-01-10,5-10 Miles,Woodburn
11155,Hunter,Robinson,Hunter Robinson,44,S,Male,40000.00,0,2024-01-06,1-2 Miles,Burbank
11156,Maria,Roberts,Maria Roberts,44,S,Female,40000.00,0,2024-01-08,1-2 Miles,Lakewood
11157,Hannah,Long,Hannah Long,45,M,Female,40000.00,0,2024-07-24,5-10 Miles,Tacoma
11158,Jason,Wright,Jason Wright,44,S,Male,40000.00,0,2024-01-19,5-10 Miles,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,44,S,Female,40000.00,0,2024-09-08,1-2 Miles,Woodland Hills
11160,Maurice,Tang,Maurice Tang,46,S,Male,40000.00,0,2024-02-21,5-10 Miles,Concord
11161,Emily,Wood,Emily Wood,46,S,Female,40000.00,0,2024-06-01,1-2 Miles,Concord
11162,Chase,Cox,Chase Cox,46,S,Male,40000.00,0,2024-02-18,5-10 Miles,La Jolla
11163,Gabriel,Wang,Gabriel Wang,45,M,Male,40000.00,0,2024-05-01,5-10 Miles,Spring Valley
11164,Devin,Brooks,Devin Brooks,46,S,Male,40000.00,0,2024-04-27,1-2 Miles,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,46,M,Female,60000.00,0,2024-05-25,1-2 Miles,Oakland
11166,Ashley,Martinez,Ashley Martinez,48,S,Female,70000.00,0,2024-10-14,0-1 Miles,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,47,S,Female,80000.00,0,2024-01-07,0-1 Miles,Issaquah
11168,David,Rodriguez,David Rodriguez,52,S,Male,80000.00,0,2024-01-15,0-1 Miles,Oakland
11169,Bryce,Richardson,Bryce Richardson,52,M,Male,90000.00,4,2024-05-26,0-1 Miles,Coronado
11170,Carol,Howard,Carol Howard,52,M,Female,90000.00,4,2024-08-26,0-1 Miles,Burien
11171,Jonathan,Hill,Jonathan Hill,47,S,Male,100000.00,1,2022-08-20,1-2 Miles,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,52,M,Female,100000.00,1,2024-05-03,1-2 Miles,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,52,S,Female,110000.00,0,2024-03-02,0-1 Miles,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,52,M,Male,110000.00,0,2024-07-13,2-5 Miles,Los Angeles
11175,Luis,Wang,Luis Wang,57,S,Male,70000.00,0,2022-08-28,5-10 Miles,Beverly Hills
11176,Mason,Roberts,Mason Roberts,46,M,Male,90000.00,4,2024-02-02,1-2 Miles,Haney
11177,Jose,Flores,Jose Flores,77,M,Male,110000.00,2,2024-03-29,5-10 Miles,San Diego
11178,Nathan,Johnson,Nathan Johnson,71,M,Male,100000.00,2,2024-02-21,1-2 Miles,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,66,M,Female,120000.00,2,2024-03-12,5-10 Miles,Beverly Hills
11180,April,Anand,April Anand,77,M,Female,160000.00,1,2024-03-17,0-1 Miles,Chula Vista
11181,Devin,Martin,Devin Martin,65,M,Male,170000.00,2,2024-05-07,0-1 Miles,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,75,S,Female,70000.00,4,2024-08-28,10+ Miles,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,75,S,Female,70000.00,4,2024-04-30,10+ Miles,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,70,S,Female,70000.00,4,2024-08-10,10+ Miles,Concord
11185,Ashley,Henderson,Ashley Henderson,75,S,Female,70000.00,4,2024-02-21,10+ Miles,Metchosin
11186,Sarah,Price,Sarah Price,76,S,Female,70000.00,4,2024-10-18,10+ Miles,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,76,M,Female,60000.00,4,2024-04-03,10+ Miles,Burien
11188,Catherine,Morris,Catherine Morris,75,M,Female,60000.00,4,2024-11-01,1-2 Miles,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,75,S,Male,60000.00,4,2022-08-26,10+ Miles,Bellingham
11190,Carson,Bryant,Carson Bryant,76,M,Male,70000.00,5,2024-08-28,10+ Miles,Beverly Hills
11191,Kristi,Perez,Kristi Perez,74,S,Female,70000.00,5,2022-08-11,10+ Miles,Colma
11192,James,Brown,James Brown,74,M,Male,60000.00,4,2024-06-23,2-5 Miles,Seattle
11193,Ian,Gray,Ian Gray,75,M,Male,60000.00,4,2024-02-25,2-5 Miles,Woodburn
11194,Jacqueline,Price,Jacqueline Price,75,M,Female,60000.00,4,2024-03-13,2-5 Miles,Palo Alto
11195,Megan,Henderson,Megan Henderson,74,M,Female,60000.00,5,2024-04-14,10+ Miles,Renton
11196,Alfredo,Romero,Alfredo Romero,74,M,Male,60000.00,5,2024-03-03,10+ Miles,Beaverton
11197,Andrea,Morris,Andrea Morris,74,M,Female,70000.00,3,2024-05-02,1-2 Miles,Seattle
11198,Brooke,Sanders,Brooke Sanders,73,S,Female,70000.00,4,2024-02-05,10+ Miles,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,68,M,Female,70000.00,4,2024-03-18,10+ Miles,Burlingame
11200,Jason,Griffin,Jason Griffin,72,M,Male,70000.00,4,2024-02-07,1-2 Miles,Victoria
11201,Amanda,Foster,Amanda Foster,72,M,Female,70000.00,4,2024-07-01,10+ Miles,Santa Monica
11202,Alexia,Price,Alexia Price,67,M,Female,80000.00,5,2024-09-15,1-2 Miles,Lakewood
11203,Luis,Diaz,Luis Diaz,66,M,Male,40000.00,2,2024-02-20,10+ Miles,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,72,M,Female,40000.00,2,2024-08-09,2-5 Miles,Beaverton
11205,Abby,Fernandez,Abby Fernandez,71,M,Female,40000.00,2,2024-07-27,10+ Miles,Burien
11206,Blake,Flores,Blake Flores,71,M,Male,60000.00,2,2024-05-11,10+ Miles,Lynnwood
11207,Danielle,Cox,Danielle Cox,71,S,Female,60000.00,2,2024-01-31,10+ Miles,Renton
11208,Maria,Reed,Maria Reed,72,M,Female,60000.00,2,2024-03-04,10+ Miles,Glendale
11209,Allison,Evans,Allison Evans,72,M,Female,60000.00,2,2024-03-25,10+ Miles,Lincoln Acres
11210,Edward,Wood,Edward Wood,72,M,Male,70000.00,4,2024-05-06,10+ Miles,West Covina
11211,Samantha,Russell,Samantha Russell,65,M,Female,40000.00,2,2024-02-01,2-5 Miles,Haney
11212,Chloe,Campbell,Chloe Campbell,70,M,Female,40000.00,2,2024-01-30,2-5 Miles,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,71,S,Female,60000.00,2,2024-03-28,10+ Miles,Edmonds
11214,Charles,Miller,Charles Miller,70,S,Male,60000.00,2,2024-08-14,10+ Miles,Milwaukie
11215,Ana,Perry,Ana Perry,64,M,Female,40000.00,2,2024-02-15,10+ Miles,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,70,S,Female,60000.00,2,2022-08-15,10+ Miles,Portland
11217,Natalie,Adams,Natalie Adams,70,S,Female,60000.00,2,2022-08-10,10+ Miles,Portland
11218,Olivia,Brown,Olivia Brown,64,S,Female,60000.00,2,2024-02-28,2-5 Miles,Tacoma
11219,Charles,Cook,Charles Cook,69,M,Male,60000.00,2,2024-10-29,10+ Miles,Woodburn
11220,Erica,Huang,Erica Huang,64,M,Female,60000.00,2,2024-03-14,10+ Miles,Colma
11221,Nathan,Perry,Nathan Perry,70,M,Male,70000.00,4,2024-04-07,1-2 Miles,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,69,M,Female,80000.00,3,2024-11-01,1-2 Miles,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,68,S,Female,70000.00,2,2024-01-29,2-5 Miles,Langley
11224,Tiffany,Li,Tiffany Li,68,S,Female,70000.00,2,2022-08-07,10+ Miles,Burien
11225,Madison,Lee,Madison Lee,63,M,Female,60000.00,2,2024-06-22,10+ Miles,Renton
11226,Sydney,Ross,Sydney Ross,63,M,Female,60000.00,2,2024-02-21,2-5 Miles,W. Linn
11227,Marshall,Chavez,Marshall Chavez,63,S,Male,60000.00,2,2022-08-03,10+ Miles,Colma
11228,Ashley,Jones,Ashley Jones,69,M,Female,60000.00,2,2024-10-25,10+ Miles,El Cajon
11229,Adrian,Stewart,Adrian Stewart,68,S,Male,70000.00,4,2024-07-27,10+ Miles,Redwood City
11230,Amber,Turner,Amber Turner,69,M,Female,70000.00,4,2024-07-16,2-5 Miles,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,62,M,Male,60000.00,2,2024-02-10,10+ Miles,Bremerton
11232,Hailey,Bryant,Hailey Bryant,67,M,Female,60000.00,3,2024-09-20,2-5 Miles,Everett
11233,Todd,Li,Todd Li,62,M,Male,70000.00,4,2024-02-08,10+ Miles,Berkeley
11234,Anna,Griffin,Anna Griffin,67,S,Female,70000.00,4,2024-02-08,10+ Miles,Long Beach
11235,Angel,Stewart,Angel Stewart,68,M,Male,70000.00,4,2024-07-04,10+ Miles,Ballard
11236,Jeremy,Butler,Jeremy Butler,68,S,Male,70000.00,5,2024-10-03,10+ Miles,Bellingham
11237,Clarence,Anand,Clarence Anand,61,S,Male,130000.00,2,2022-09-05,0-1 Miles,Solingen
11238,Mayra,Prasad,Mayra Prasad,61,S,Female,130000.00,2,2022-01-06,0-1 Miles,Birmingham
11239,Latoya,Goel,Latoya Goel,56,M,Female,130000.00,2,2022-01-19,5-10 Miles,London
11240,Anne,Hernandez,Anne Hernandez,61,M,Female,160000.00,2,2022-02-27,5-10 Miles,Watford
11241,Lisa,Cai,Lisa Cai,51,S,Female,100000.00,2,2023-09-10,5-10 Miles,Les Ulis
11242,Larry,Munoz,Larry Munoz,62,M,Male,110000.00,2,2023-09-19,5-10 Miles,Versailles
11243,Robin,Alvarez,Robin Alvarez,62,M,Female,150000.00,2,2022-02-21,0-1 Miles,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,57,S,Female,170000.00,2,2022-02-12,0-1 Miles,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,63,M,Male,120000.00,3,2022-09-26,5-10 Miles,Hamburg
11246,Latasha,Rubio,Latasha Rubio,63,M,Female,120000.00,3,2022-10-03,5-10 Miles,Hamburg
11247,Claudia,Zhou,Claudia Zhou,64,S,Female,130000.00,3,2022-02-18,0-1 Miles,Lancaster
11248,Tristan,Alexander,Tristan Alexander,59,M,Male,110000.00,3,2024-07-14,10+ Miles,Saint-Denis
11249,Cindy,Patel,Cindy Patel,59,M,Female,130000.00,3,2022-10-09,0-1 Miles,Sulzbach Taunus
